"taxon","log_ratio_effect","se_mean","p_value","p_adj_BH"
"Nocardioides sp. TF02-7",7.81983564488112,2.5104346193978,0.0529348962684633,0.980328789599641
"Burzaovirus faecalis",8.58779042247861,2.62616856998854,0.045281930309474,0.982347223463483
"Variovorax sp. 38R",4.3154709079803,1.88802780932522,0.0848134586157543,0.99447469861896
"Ottowia sp. oral taxon 894",8.25038026320479,2.68802468530221,0.0523955984784405,0.994484181254828
"Flavobacterium aestivum",-4.75180340781569,2.81626017532715,0.213749329512494,0.995174979049192
"Geomonas oryzisoli",3.85235157424219,1.60975702430285,0.0764292399699954,0.995316674142213
"Geothrix sp.",2.67421615397785,1.56225381919322,0.150883332475658,0.995722573210784
"Dermacoccus nishinomiyaensis",3.12898182257097,1.41091956352845,0.0907527074177218,0.995741761716033
"Devosia sp. G2-5",-4.97447738645162,2.85295591620584,0.204738546866883,0.99675632544441
"Chryseobacterium arthrosphaerae",-4.91097214514788,2.89723154445951,0.209776974177938,0.99686459606007
"Burzaovirus intestinihominis",7.90913078373906,2.74183931952475,0.0612677879077322,0.996908086146928
"Nitrosomonas sp. sh817",-4.62491643141365,2.78424309142541,0.222471726228359,0.997115631718079
"Nocardioides faecalis",-4.84169906571633,2.81205177703002,0.206633714032105,0.997137366489435
"Candidatus Planktophila vernalis",-4.48185497010825,2.70717421131502,0.221013415772958,0.997261281685622
"Clostridium aceticum",-4.10087199137721,2.73333579044934,0.259610336962754,0.997378652985788
"Methyloceanibacter caenitepidi",7.8202392821404,2.68455921496647,0.0590676134061107,0.99746632661244
"Psychrosphaera aestuarii",-4.81026984659334,2.69928616050013,0.198379882113694,0.997591471353517
"Microbacterium hydrocarbonoxydans",-4.87706351872996,2.84238437662729,0.20839855978015,0.997596637616902
"Pseudomonas sp. FP2335",-4.68888195716799,2.8601625877198,0.227352949509531,0.997622219491144
"Changpingibacter yushuensis",-5.27869167360034,3.01379125046977,0.200670215936262,0.997768037901215
"Arcanobacterium pinnipediorum",-5.23133566479515,3.02138357625156,0.201980242191718,0.997809806064998
"Corynebacterium urogenitale",-4.64613807616238,2.754156753844,0.221651142256689,0.997842052408726
"Vagococcus xieshaowenii",-4.53626206134882,2.75667882237104,0.225834293728253,0.997947693591773
"Corynebacterium stationis",-5.38072150282828,2.93589669912812,0.186162233548197,0.997995795180457
"Liquorilactobacillus hordei",-4.92240697784896,2.83755407776635,0.205140813033866,0.998044317031112
"Moraxella bovoculi",-5.47794603668359,2.98120949992216,0.183377206701095,0.998107596859984
"Agromyces mangrovi",-5.22953707890731,2.99389733188437,0.20310360024918,0.998109592056312
"Pseudomonas sp. M30-35",-4.7954345636518,2.87578677542154,0.219358298736047,0.998269383809846
"Snodgrassella alvi",-4.46649531359694,2.75019209175277,0.232356027920341,0.99828465529967
"Sphingomonas sp. Y38-1Y",-4.82515399891857,2.82258135875886,0.214452466455819,0.998462513328737
"Mycolicibacterium mengxianglii",7.21473639653891,2.79185790195293,0.0791663552280067,0.998466446710515
"Microbacterium amylolyticum",-4.56240467121724,2.8258773664424,0.228760237771674,0.998527340634046
"Streptomyces sp. XD-27",-4.21873117900351,2.72258060480567,0.248439183558259,0.998598638097629
"Caldicellulosiruptor owensensis",-4.85691579637343,2.84453303006836,0.210466453469108,0.998634061092717
"Micromonospora sp. WMMD998",-4.74546391155616,2.87695934833309,0.221470323172788,0.998653114887584
"Myxococcus landrumus",2.75169549439801,1.91066414466741,0.211462262403384,0.998710276036861
"Histophilus somni",-5.05687259388655,2.96983787233582,0.211331006594177,0.998716903210714
"Chryseobacterium panacisoli",-4.86200631508482,2.80412971644369,0.20930153092262,0.998719673945991
"Thiomicrorhabdus lithotrophica",-4.14729378748546,2.72564318564329,0.251884614172296,0.998749302676239
"Mycolicibacterium confluentis",-5.26191311979582,2.96987296148652,0.192178686151712,0.998777696935423
"Collimonas arenae",-4.53901352723279,2.75393243289994,0.228394704590707,0.998904902413751
"Streptomyces violaceusniger",-4.93851300670461,2.86144784785317,0.203588137436687,0.999002652204227
"Pontibacillus chungwhensis",-4.83494532574806,2.93643237796103,0.222053237233772,0.999007991947763
"Pantoea sp. Lij88",-4.83096608319881,2.79408264528993,0.208821011441911,0.999020416513295
"Candidatus Hepatoplasma crinochetorum",-2.62868340120574,2.64731461112368,0.394729604053143,0.999030526996071
"Planococcus rifietoensis",-4.87768040255121,2.89374842098006,0.213946786152482,0.999077791476311
"Desulfosediminicola flagellatus",-3.95454436102002,2.72986492491477,0.275361310941174,0.999130881286836
"Pseudomonas sp. MPDS",-5.96213878301844,3.2365302279523,0.179656549859628,0.999156988278335
"Pseudomonas versuta",-4.77590916065925,2.93039765604164,0.226364799115944,0.999158635130167
"Desulfosporosinus acidiphilus",-4.52800156316893,2.81128370468215,0.230905198392068,0.999209917768017
"Shewanella yunxiaonensis",-4.16564158664928,2.73101506174859,0.249951139496537,0.9992121103515
"Candidatus Fervidibacter sacchari",-4.30907478591336,2.74053988245207,0.239641011976858,0.999216370133138
"Curtobacterium sp. 458",-4.92405573312793,2.98393079396938,0.215507354203708,0.999238858502777
"Halomonas subglaciescola",-4.75184105912018,2.86919620183655,0.224111062184322,0.999244433874951
"Caulobacter flavus",3.3419828623065,1.59501268217178,0.101234105965554,0.999266428780599
"Hyphomonas sp. Mor2",-6.18887859933261,3.40921080397311,0.178782282970616,0.999287688415777
"Paracholeplasma brassicae",-4.6765056792561,2.77909870834037,0.216566997482176,0.999287765061363
"Candidatus Nanosynbacter lyticus",-5.3246179337899,3.14992404392858,0.20855880320447,0.999291476008473
"Microbacterium sp. LKL04",7.60658394904058,2.70059462272275,0.065083852413992,0.999300804254895
"Aquella oligotrophica",-5.12369732384601,2.94652393086261,0.201572060628356,0.999349854289736
"Verrucomicrobium sp. GAS474",3.32134896581857,1.72719190918204,0.117421668914954,0.999357482590943
"Entomospira culicis",-4.19792156155919,2.68415266991497,0.24304451137876,0.999406304515015
"Haploplasma axanthum",-4.83105335980679,2.98873799338585,0.225071078036382,0.999406462602914
"Leifsonia sp. 21MFCrub1.1",2.54357437099125,1.67842897145306,0.19456552304413,0.999427806615005
"Lysinibacillus agricola",-4.48757938444385,2.88897507988132,0.248019628235536,0.999458258967834
"Candidatus Puniceispirillum marinum",-4.21735801899505,2.77778065439764,0.257212232944848,0.9995084409073
"Anoxybacter fermentans",-4.32173558438163,2.72132920603623,0.236529919307428,0.999603685809766
"Bordetella holmesii",-5.04448057304337,2.88209570854468,0.20149841274241,0.999620932585935
"Romboutsia sp. CE17",-4.36475985992931,2.72968541353593,0.236292403422124,0.999625453155565
"Crossiella sp. CA-258035",2.45625749834535,1.89601251272884,0.252744910863999,0.999642168177351
"Polynucleobacter paneuropaeus",-4.49474411461266,2.84192141814506,0.238976217619063,0.999646912623062
"Pantoea sp. SO10",-5.47494472650287,3.00187194186332,0.18479537967882,0.999650985073317
"Microbacterium invictum",-5.0762657639817,3.03278429986155,0.214274849141905,0.999683378461569
"Amycolatopsis sp. 4-36",7.3596472704012,2.74862170031736,0.0710020945721632,0.999698853851594
"Lactococcus piscium",-5.00457057093897,2.90270346438682,0.210397574950023,0.999721498463275
"Peptostreptococcus sp. CBA3647",-4.57442856582142,2.94613950283938,0.240953370109212,0.999723514870574
"Corynebacterium freneyi",-5.37070724821394,3.12142560462056,0.200100033648999,0.999724068481618
"Sphingobacterium sp. LZ7M1",-4.12252196025872,2.7993673464355,0.268239035101222,0.999735526685535
"Jeotgalicoccus sp. WY2",-4.28632915068756,2.76426006070576,0.248185012572184,0.999742730195106
"Bacillus sp. KH172YL63",-7.01823182476488,2.5018439118526,0.0600792860476703,0.999744673385022
"Cryobacterium sp. SO1",-4.37425710110745,2.78665744074059,0.245519838320831,0.999744673385022
"Cellulomonas shaoxiangyii",-5.4692468405323,3.08924340615287,0.191463851464982,0.999751824815479
"Streptomyces sp. MA3_2.13",5.07436566159638,2.12733935155089,0.0856574793989597,0.999769438522728
"Paenibacillus physcomitrellae",-4.71059652315435,2.88728046811307,0.225014218279366,0.999783995328989
"Wohlfahrtiimonas chitiniclastica",-5.2026703027759,3.06501140475734,0.209953475054264,0.999786808226265
