name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	10712368	557992	11270360	0.46594
Segatella hominis	2518605	S	85514	9624	95138	0.00393
Segatella bryantii	77095	S	542	745	1287	0.00005
Segatella oris	28135	S	178	8	186	0.00001
Prevotella melaninogenica	28132	S	2197	621	2818	0.00012
Prevotella jejuni	1177574	S	1143	417	1560	0.00006
Prevotella sp. E9-3	2913621	S	384	20	404	0.00002
Prevotella sp. E2-28	2913620	S	272	13	285	0.00001
Prevotella sp. Rep29	2691580	S	115	3	118	0.00000
Prevotella sp. oral taxon 475	712471	S	100	4	104	0.00000
Prevotella sp. E15-22	2937774	S	85	5	90	0.00000
Prevotella sp. oral taxon 299	652716	S	25	1	26	0.00000
Prevotella sp. E13-17	2913616	S	24	1	25	0.00000
Prevotella intermedia	28131	S	999	301	1300	0.00005
Prevotella dentalis	52227	S	973	82	1055	0.00004
Prevotella bivia	28125	S	718	65	783	0.00003
Prevotella corporis	28128	S	674	75	749	0.00003
Prevotella communis	2913614	S	475	23	498	0.00002
Prevotella fusca	589436	S	389	78	467	0.00002
Prevotella denticola	28129	S	340	105	445	0.00002
Prevotella multiformis	282402	S	247	105	352	0.00001
Prevotella veroralis	28137	S	220	42	262	0.00001
Prevotella nigrescens	28133	S	197	74	271	0.00001
Prevotella herbatica	2801997	S	101	0	101	0.00000
Prevotella histicola	470565	S	79	9	88	0.00000
Paraprevotella clara	454154	S	1700	253	1953	0.00008
Paraprevotella xylaniphila	454155	S	752	146	898	0.00004
Xylanibacter ruminicola	839	S	1340	13	1353	0.00006
Hoylesella enoeca	76123	S	599	48	647	0.00003
Hoylesella buccalis	28127	S	324	1482	1806	0.00007
Pseudoprevotella muciniphila	2133944	S	20	0	20	0.00000
Alistipes megaguti	2364787	S	577961	62136	640097	0.02646
Alistipes communis	2585118	S	525248	88426	613674	0.02537
Alistipes dispar	2585119	S	425163	60693	485856	0.02009
uncultured Alistipes sp.	538949	S	173798	16211	190009	0.00786
Alistipes finegoldii	214856	S	133830	94312	228142	0.00943
Alistipes ihumii	1470347	S	116919	3077	119996	0.00496
Alistipes onderdonkii	328813	S	112687	55030	167717	0.00693
Alistipes senegalensis	1288121	S	95374	34675	130049	0.00538
