name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Faecalibacterium prausnitzii	0.17773	7.9e-4	0.13754	0.07278	0.01267	0.1127
Faecalibacterium sp. I3-3-89	0.08695	0.00229	0.00379	0.00116	0.00233	0.00487
Faecalibacterium sp. I4-3-84	0.03143	8e-5	0.01913	0.01458	0.00354	0.05865
Faecalibacterium sp. HTF-F	0.00825	6e-5	0.00735	0.00314	9.5e-4	0.01731
Faecalibacterium sp. I2-3-92	0.00765	9e-5	0.00672	0.00225	0.0019	0.00624
Faecalibacterium sp. I4-1-79	0.0032	7e-5	0.0105	0.0032	0.01575	0.01126
Faecalibacterium sp. I3-3-33	0.00265	6e-5	0.00836	0.00228	0.00347	0.00566
Faecalibacterium sp. IP-3-29	0.00409	8e-5	0.00561	0.00164	0.00654	0.00915
Faecalibacterium sp. IP-1-18	0.00401	6e-5	0.01966	0.00526	0.00291	0.00943
Faecalibacterium duncaniae	0.00725	1.3e-4	0.01108	0.00526	0.00332	0.01342
Lawsonibacter asaccharolyticus	0.01958	6.2e-4	0.00284	0.0276	0.00584	0.01292
Dysosmobacter welbionis	0.01632	6.1e-4	0.00822	0.03706	0.00737	0.01104
Flavonifractor plautii	0.01009	0.00286	0.00478	0.00482	0.00391	0.0078
Vescimonas coprocola	0.00303	8e-5	0.00676	0.00917	8.8e-4	0.01138
Vescimonas fastidiosa	0.00157	4e-5	0.00473	5.3e-4	4.4e-4	0.01109
Ruthenibacterium lactatiformans	0.00344	1.5e-4	0.00342	0.00847	0.001	0.00857
Pusillibacter faecalis	0.00284	1.4e-4	0.00138	0.00262	0.0013	0.00393
Anaerotruncus colihominis	0.00151	1.1e-4	9.2e-4	4.9e-4	3.1e-4	9.9e-4
Subdoligranulum variabile	0.00143	3e-5	0.00205	2.7e-4	6.6e-4	0.00257
Oscillibacter hominis	0.0013	5e-5	0.0034	9.8e-4	1.7e-4	0.00194
Ruminococcus sp. SR1/5	9.9e-4	3.2e-4	0.00132	2.5e-4	1.1e-4	4.3e-4
Ruminococcus bicirculans (ex Wegman et al. 2014)	1.6e-4	1e-5	5e-4	0.01576	0.00158	0.00254
Ruminococcus champanellensis	7e-5	1e-5	0.00357	3e-5	5e-5	2.9e-4
Ruminococcus gauvreauii	2e-5	1e-5	3e-5	1e-5	1e-5	2e-5
Ruminococcus albus	2e-5	0	1.2e-4	1e-5	1e-5	3e-5
Ruminococcus bovis	1e-5	0	3e-5	2e-5	0	1.6e-4
Solibaculum mannosilyticum	1.5e-4	2e-5	5.2e-4	5e-5	7e-5	2.7e-4
Agathobaculum sp. NTUH-O15-33	9e-5	2e-5	1.3e-4	4e-5	5e-5	1.7e-4
Acutalibacter muris	9e-5	1e-5	2.4e-4	8e-5	3e-5	2.3e-4
Caproicibacterium sp. ZCY20-5	4e-5	0	9e-5	2e-5	1e-5	6e-5
Caproicibacterium sp. BJN0003	1e-5	0	3e-5	0	1e-5	2e-5
Caproicibacterium amylolyticum	2e-5	0	3e-5	1e-5	1e-5	4e-5
